area_name,salary_in_rub
Мулино,26062.09588235294
Красная Поляна (Кировская область),26068.68131868132
Шклов,26093.5349857
Жетысай,26098.84322222222
Ивье,26102.0581495
Пронск,26105.555555555555
Лепель,26117.563909090906
Яшалта,26125.25
Новолукомль,26125.390000000003
Дружба (Нижегородская область),26125.814062499998
Вача,26180.410215053762
Хойники,26192.8911656875
Большое Мурашкино,26214.979891304345
Микашевичи,26258.4894375
Туров,26270.260000000002
Варнавино,26280.52912087912
Шалкар,26307.1025
Смолевичи,26323.82665833514
Мальчевская,26375.0
Белая Церковь,26426.399235576922
Никополь,26430.610800000002
Центральный,26434.782608695652
Афанасьево,26473.13206521739
Верхнедвинск,26498.17279831
Нарыга,26500.0
Растопуловка,26500.0
Кричев,26510.398041818178
Полтавка,26538.46153846154
Павелец,26575.581395348836
Дальнее Константиново,26592.203535353536
Молоково (Тверская область),26600.0
Атакент,26602.35
Поставы,26643.159755615383
Пригородный (Волгоградская область),26666.666666666668
Тульская область,26680.168478260868
Малый Маяк,26735.0
Массандра,26735.0
Ковернино,26735.13282828283
Санчурск,26759.21052631579
Глубокий,26800.0
Мерке,26820.375
Николаевка (Ростовская область),26875.0
Новомосковск (Днепропетровская область),26887.57857945946
Покровск (Донецкая область),26902.16333333333
Спас-Клепики,26928.573660714286
Гусь-Железный,26931.31868131868
Пайарык,26944.940000000002
Пскент,26956.965
Ленина (Краснодарский край),27000.0
Афанасьево (Кировская область),27016.129032258064
Маслянино,27016.666666666668
Покровское (Ростовская область),27043.478260869564
Большое Козино,27069.675
Береза,27077.78923798
Новая Каховка,27089.102020000002
Степное Озеро,27100.0
Есиль,27114.2788
Бутурлино,27173.980526315787
Шаля,27175.0
Марьина Горка,27187.176731725678
Красные Баки,27206.022395833334
Лунинец,27248.126472222226
Сакмара,27333.333333333332
Костюковичи,27336.639717777776
Перевоз,27344.674180327867
Новогрудок,27350.623759956525
Усть-Кулом,27366.666666666668
Буревестник,27401.334895833334
Сосновка,27428.573529411766
Ильиногорск,27434.506842105264
Жашков,27476.905
Солянка,27500.0
Три Протока,27500.0
Хорей-Вер,27500.0
Красная Пахра,27500.0
Беляевка (Оренбургская область),27500.0
Тоцкое Второе,27500.0
Старокучергановка,27500.0
Таврийск,27547.59
Вахруши,27589.285714285714
Экибастуз,27609.22843238434
Даниловка,27642.85714285714
Отеген-Батыр,27648.35097583333
Республика Башкортостан,27715.46315789474
Вишневое,27738.902309545454
Новоишимское,27777.096999999998
Белоомут,27827.85714285714
Заклинье (Ленинградская область),27833.333333333332
Луза,27841.46544715447
Брагин,27859.286279555556
Марганец,27972.20578125
Федяково (Нижегородская область),27972.809523809523
Кулан,27987.092
Заречье,28050.0
Ромны,28082.900000000005
Палласовка,28162.109375
Рыздвяный,28225.0
Цаган Аман,28233.333333333332
Мстиславль,28247.9449836
Новониколаевский (Волгоградская область),28248.42105263158
Подкумок,28250.0
Видяево,28250.0
Актогай,28315.9275
Логойск,28321.900771187502
Нюксеница,28325.0
Подгородняя Покровка,28333.333333333332
Татарская Каргала,28333.333333333332
Ошмяны,28344.822636363635
Новый Свет,28375.0
Пензенская область,28376.591666666664
Северодонецк,28405.026263265307
Иркутская область,28416.666666666668
Спасск-Рязанский,28430.002
Саратовская область,28446.722978723403
Ижма (Коми),28449.0
Грачевка (Оренбургская область),28477.777777777777
Тевриз,28498.590909090908
Никологоры,28500.0
Намцы,28500.0
Мосты,28503.723222
Белогородка,28531.265
Заветы Ильича (Хабаровский край),28543.571428571428
Сылва (Пермский край),28575.0
Афонино,28576.934761904762
Понежукай,28578.947368421053
Обливская,28655.25
Междуреченский (Ханты-Мансийский АО),28717.58695652174
Ляховичи,28721.223812444445
Жодино,28727.046453048315
Талдыкорган,28781.245586394845
Село имени Бабушкина,28785.714285714286
Дивеево,28854.6252
Житковичи,28888.428888888888
Лоев,28891.17560072222
Бобруйск,28933.352147411762
Никольск,28944.444444444445
Кораблино,28949.815298507463
Осакаровка,28964.159999999996
Воротынец,28991.54913043478
Ферсманово,29000.0
Александро-Невский,29029.166666666668
Ивановская область,29043.12
Жанаозен,29047.84568292683
Горбатов,29062.635897435895
Лукоянов,29106.701369863018
Воскресенское,29108.8702020202
Княгинино,29124.63307086614
Кордай,29157.76232142857
Зуевка,29159.67943548387
Горняцкий,29166.666666666668
Южный (Одесская область),29185.0
Першотравенск,29198.909
Терновка,29198.909
Кичменгский Городок,29250.0
Тисуль,29250.0
Николаевск,29258.88157894737
Несвиж,29348.577465517857
Нижегородская область,29379.031935028248
Большое Сареево,29450.0
Белая Холуница,29492.4575
Ташара,29500.0
Хоринск,29500.0
Дятлово,29545.690417
Осиповичи,29568.806218153848
Киргиз-Мияки,29583.333333333332
Оредеж,29600.0
Нолинск,29605.71062992126
Шахунья,29611.43954248366
Ветлуга,29635.810958904112
Нежинка,29642.85714285714
Кагальник,29642.85714285714
Самарское,29650.0
Вознесенское (Нижегородская область),29696.19954954955
Учкекен,29722.222222222223
Убинское,29740.0
Юца,29750.0
Верх-Ирмень,29750.0
Дубовка,29772.033898305086
Яблоновский,29826.923076923078
Кромы,29830.105263157893
Клецк,29840.0672439625
Полоцк,29842.45832737326
Чашники,29844.2779737
Семей,29844.806979502107
Ленинградская область,29857.798885869564
Уржум,29866.7901459854
Исмаиллы,29867.743666666665
Урень,29911.60863095238
Обухов,29922.021499545455
Кирс,29926.552296296297
Лихой,29937.5
Ворсма,29961.802962962964
Усть-Тарка,30000.0
Маньково-Калитвенская,30000.0
Ушаковка (Астраханская область),30000.0
Тёмкино,30000.0
Кырен,30000.0
Сандата,30000.0
Приютное,30000.0
Горные Ключи,30000.0
Старобачаты,30000.0
Развильное,30000.0
Курумкан,30000.0
Кижинга,30000.0
Ново-Николаевка (Астраханская область),30000.0
Спирово (Тверская область),30000.0
Солёное Займище (Астраханская область),30000.0
Гагарин (Узбекистан),30000.0
Большой Царын,30000.0
Никольское (Астраханская область),30000.0
Чайкино (Республика Крым),30000.0
Северомуйск,30000.0
Богатые Сабы,30008.928571428572
Чегем Второй,30013.333333333332
Островец,30044.34277777778
Эссо,30056.0
Озерновский,30056.0
Николаевка (Камчатский край),30056.0
Борисов,30072.419948064482
Володарский,30083.333333333332
Старая Полтавка,30085.714285714286
Кагальницкая,30088.235294117647
Красный Яр (Астраханская область),30148.333333333332
Сусанино (Ленинградская область),30166.666666666668
Шелек,30177.625
Ждановский,30223.677027027024
Онохой,30250.0
Скидель,30278.100000000002
Петропавловка (Воронежская область),30296.125
Пригородный,30316.666666666668
Волчанск (Харьковская область),30319.11766666667
Коренево,30333.333333333332
Клетская,30333.333333333332
Мураши,30352.757874015748
Началово,30363.636363636364
Краснодарский край,30439.408375
Вологодская область,30500.0
Аксарайский,30500.0
Зельва,30503.112465777776
Солнечный (Ханты-Мансийский АО),30514.25
Колышлей,30538.46153846154
Жезказган,30542.96041861434
Каскелен,30586.06257142857
Сернур,30648.387096774193
Балхаш,30649.658668032785
Прямицыно,30666.666666666668
Дебальцево,30676.2
Кваркено,30699.285714285714
Кандыагаш,30703.20258482143
Тараз,30711.20290240469
Чистоозерное,30750.0
Столбцы,30762.558173067308
Электроизолятор,30810.555555555555
Икряное,30823.076923076922
Тамбовка (Астраханская область),30833.333333333332
Чапаево,30836.775
Елизаветино (Ленинградская область),30875.0
Жанаркорган,30926.25
Жабинка,30939.857727272727
Торетам,30975.015
Тара,30981.893564285714
Лаишево,30995.65117801047
Ельники,31000.0
Прибельский,31000.0
Большие Березники,31000.0
Лямбирь,31000.0
Кемля,31000.0
Большое Игнатово,31000.0
Дубенки,31000.0
Шатурторф,31035.714285714286
Яранск,31048.952797202797
Шемонаиха (ВКО),31048.998889319442
Нежин,31050.004022727277
Буда-Кошелево,31068.086875
Венгерово,31130.76923076923
Ельск,31158.716875
Советск (Кировская область),31163.734154929578
Сатпаев,31172.507746268657
Знаменское (Чечня),31194.444444444445
Терновка (Воронежская область),31200.0
Талгар,31215.502899822914
Курчалой,31230.76923076923
Михайлов,31280.283450704224
Курманаевка,31292.0
Первомайск (Нижегородская область),31295.391843971633
Яшкуль,31333.333333333332
Кильмезь (Кировская область),31399.757281553397
Лубны,31405.666942307693
Павлодар,31462.898989704765
Семенов,31466.75
Кокшетау,31487.26666486375
Шемышейка,31500.0
Самойловка,31500.0
Конотоп,31502.183955172415
Баковка,31520.833333333332
Пружаны,31536.57422222222
Рудня (Волгоградская область),31539.130434782608
Мангистау,31539.980285714286
Умань,31550.290327586205
Котельнич,31598.531045751635
Талица,31625.316455696204
Измаил,31648.641153846154
Средний Икорец,31666.666666666668
Средняя Ахтуба,31691.666666666668
Тросна,31700.0
Сунжа (Ингушетия),31750.0
Лиман (Астраханская область),31757.5
Приозёрск (Карагандинская область),31760.326
Александрийская,31800.0
Мокшан,31862.222222222223
Узынагаш,31873.8
Шаргунь,31889.88
Риштан,31889.88
Шурчи,31889.88
Чуст,31889.88
Туракурган,31889.88
Чимбай,31889.88
Турткуль,31889.88
Мубарек,31889.88
Чиракчи,31889.88
Шуманай,31889.88
Яйпан,31889.88
Яккабаг,31889.88
Чиназ,31889.88
Ромитан,31889.88
Муйнак,31889.88
Питнак,31889.88
Янги-Нишан,31889.88
Чартак,31889.88
Челек,31889.88
Нурата,31889.88
Нурабад,31889.88
Ходжейли,31889.88
Ходжаабад,31889.88
Пайтуг,31889.88
Ханабад,31889.88
Хаккулабад,31889.88
Пап,31889.88
Паркент,31889.88
Учкурган,31889.88
Пахтаабад,31889.88
Пахтакор,31889.88
Янгирабад,31889.88
Ургут,31889.88
Янгиер,31889.88
Кувасай,31889.88
Тахиаташ,31889.88
Мархамат,31889.88
Кургантепа,31889.88
Шерабад,31889.88
Шахрихан,31889.88
Шафиркан,31889.88
Кумкурган,31889.88
Кунград,31889.88
Мангит,31889.88
Кызылтепа,31889.88
Кульсары,31934.710756758068
Рязанская область,31943.18125
Холмогоры,31946.153846153848
Краснослободск (Волгоградская область),31949.358974358973
Ромоданово,31969.23076923077
поселок Маршала Жукова,32000.0
Кыштовка,32000.0
Переволоцкий,32000.0
Венцы (Краснодарский край),32000.0
Черницыно,32000.0
Энергодар,32001.682058823528
Фаниполь,32014.500952290324
Воскресенское (Саратовская область),32015.0
Нариманов,32025.283018867925
Ремонтное,32033.125
Избербаш,32035.714285714286
Омутнинск,32036.479559748426
Палкино (Псковская область),32042.85714285714
Емильчино,32087.75
Кунья,32095.454545454544
Дербент,32103.98148148148
Иваново (Брестская область),32128.987362052634
Рыбное,32131.648843930634
Домбаровский,32142.85714285714
Косшы,32162.914399999998
Ясная Поляна (Ставропольский край),32166.666666666668
Хмельницкий,32175.02786451049
Коломыя,32235.43421212121
Юкки,32250.0
Ильичевск,32256.66551470588
Татищево (Саратовская область),32262.25
Петриков,32268.324285714287
Сырдарья,32287.7975
Ивацевичи,32289.11970063158
Заветное,32300.0
Новопавловск,32329.464285714286
Стерлибашево,32346.153846153848
Щучин,32355.555714285718
Степняк,32386.208913666665
Баяндай,32400.0
поселок Лев Толстой,32402.85714285714
Октябрьское (Пригородный район),32406.5
Васильево,32410.35714285714
Дигора,32413.043478260868
Темиртау,32423.369600059348
Яшкино,32424.1
Браслав,32460.377583333335
Орлов,32468.61496350365
Зайсан,32498.67275862069
Гривенская,32500.0
Шелопугино (Забайкальский край),32500.0
Васкелово,32500.0
Ая,32500.0
Светлый (Оренбургская область),32500.0
Красноярская (Ростовская область),32500.0
Кондинское,32500.0
Шостка,32507.139522727273
Кызылорда,32552.98698222749
Алекса́ндров Гай,32562.5
Знаменск,32571.315789473683
Бердянск,32572.789570512825
Усть-Джегута,32575.81395348837
Черноморско-Кавказский округ,32582.849375
Ярославская область,32585.461020408165
Пестяки,32593.0
Суровикино,32597.79411764706
Донецкая область,32611.493750000005
Волжский(Волгоградская область),32618.07740812577
Родионово-Несветайская,32636.363636363636
Республика Коми,32666.666666666668
Кочёво,32666.666666666668
Чкаловск,32669.70751633987
Первомайск (Украина),32717.605966666666
Выльгорт,32743.75
Челно-Вершины,32750.0
Кореличи,32759.147142857142
Круглое,32770.083333333336
Уинское,32771.42857142857
Борисполь,32782.74463357143
Черусти,32821.42857142857
Каменномостский,32821.90909090909
Тарасовский,32823.529411764706
Усогорск,32869.230769230766
Красные Баррикады,32882.35294117647
Уральск,32890.59707547623
Тяжинский,32906.25
Верхний Баскунчак,32977.294117647056
Кочубеевское,32982.857142857145
Вадинск,33000.0
Алабуга (Челябинская область),33000.0
Головчино,33000.0
Этока,33000.0
Великовечное,33000.0
Лунино (Пензенская область),33000.0
Медведицкий,33000.0
Гаджиево,33002.860714285714
Изюм,33039.29340740741
Воложин,33042.67948399583
Сорочинск,33071.35909090909
Горный (Ростовская область),33071.42857142857
Городище,33074.85981308411
Питерка,33075.344333333334
Баксан,33076.25
Самарская область,33088.64318181818
Базарный Карабулак,33094.8275862069
Слободской,33121.65965346534
Нежинский (Ставропольский край),33125.0
Верхний Мамон,33147.269230769234
Хохол,33163.57142857143
Дивное (Ставропольский край),33178.333333333336
Кабанск,33187.5
Перелюб,33200.0
Ленинск,33211.932835820895
Овощной (Ростовская область),33214.28571428572
Прилуки,33214.29291304348
Бирюсинск,33214.49568181818
Республика Татарстан,33219.34542372881
Капчагай,33256.54159139785
Назрань,33261.46570397112
Малорита,33278.7078125
Старосубхангулово,33284.61538461538
Макушино,33298.47826086957
Ковылкино,33333.10810810811
Зеленоборский,33333.333333333336
Орда (Пермский край),33333.333333333336
Пешково,33333.333333333336
Юго-Камский,33333.333333333336
Актобе,33381.27662893035
Костанай,33384.23574558673
Сунтар,33400.0
Прохладный,33407.619047619046
Каменец-Подольский,33408.544421875
Кедровый,33414.63888888889
Юсьва,33428.57142857143
Тюлячи,33432.142857142855
Камское Устье,33440.0
Половинное,33463.75
Шарковщина,33469.949642857144
Кобралово,33500.0
Балтай,33500.0
Бесскорбная,33500.0
Кетово,33505.882352941175
Новоаннинский,33534.50704225352
ДСК Мичуринец,33535.71428571428
Горное Лоо,33545.454545454544
Алейск,33546.35553633218
"Мраково (Кугарчинский район, Башкортостан)",33560.0
Ардатов (Нижегородская область),33580.25990566037
Баутино,33603.251521739134
Шарлык,33640.90909090909
Чулым,33648.53676470588
Анджиевский,33666.666666666664
Новомичуринск,33714.36111111111
Асино,33715.94565217391
Ветютнев,33750.0
Козулька,33763.15789473684
Тавда,33778.333333333336
Чертково,33791.0
Болхуны,33800.0
Кара-Балта,33811.33032142858
Чугуев,33827.5685
Заюково,33833.333333333336
Шепетовка,33835.26976470588
Аркалык,33845.65835
Кулешовка,33857.142857142855
"Михайловка (Уфимский район, Башкортостан)",33891.17647058824
Федоровка (Республика Башкортостан),33897.77777777778
Миоры,33931.767
Корма,33933.20333333333
Харабали,33939.142857142855
Моздок,33950.30434782609
Исянгулово,33957.89473684211
Есик,33993.024900000004
Тюкалинск,33994.42441860465
Атюрьево,34000.0
Карабулак,34000.0
Пролетарский,34000.0
Звенигово,34032.54571969697
Чик,34045.454545454544
Пшехская,34055.555555555555
Чечерск,34058.179000000004
Житомир,34062.66250902778
Ачит,34083.333333333336
Малая Сердоба,34142.857142857145
Алагир,34156.25
Опочка,34162.12310606061
Балыкчы,34185.69775000001
Савинский,34200.0
Плешаново,34210.0
Володарск,34221.02282352941
Мамоново,34228.875
Дубровно,34258.763333333336
Майкор,34285.71428571428
Ольгинская (Ростовская область),34300.0
Новобирилюссы,34315.78947368421
Котельниково,34333.1
Степногорск,34337.6133515625
Славгород,34351.92333333333
Верхняя Синячиха,34355.142857142855
Рудня,34356.253125
Газалкент,34367.08125
Сафакулево,34375.0
Коростень,34377.82359259259
